Zip,City,State,Division,Parking,Pets,Food,Lounge
93117,Goleta,CA,Southwest,N,N,N,N
93227,Goshen,CA,Pacific,N,N,N,N
80446,Granby,CO,Central,N,Y,N,N
86023,Grand Canyon National Park,AZ,Southwest,N,N,N,N
86023,Grand Canyon National Park,AZ,Southwest,N,N,N,N
58201,Grand Forks,ND,Central,Y,Y,N,N
81501,Grand Junction,CO,Pacific,Y,Y,N,N
49503,Grand Rapids,MI,Central,N,N,N,N
83530,Grangeville,ID,Pacific Northwest,N,N,N,N
97526,Grants Pass,OR,Pacific,N,N,N,N
21536,Grantsville,MD,Mid-Atlantic,N,N,N,N
21638,Grasonville,MD,Mid-Atlantic,N,Y,N,N
54301,Green Bay,WI,Central,N,N,N,N
84525,Green River,UT,Pacific,N,N,N,N
27401,Greensboro,NC,Southern,Y,N,N,N
15601,Greensburg,PA,Mid-Atlantic,N,Y,N,N
29601,Greenville,SC,Southern,Y,Y,N,N
38930,Greenwood,MS,Central,N,N,N,N
93433,Grover Beach,CA,Southwest,N,N,N,N
93434,Guadalupe,CA,Southwest,N,N,N,N
73044,Guthrie,OK,Central,N,N,N,N
21740,Hagerstown,MD,Mid-Atlantic,N,N,N,N
28345,Hamlet,NC,Southern,N,N,N,N
46320,Hammond,IN,Central,N,N,N,N
70401,Hammond,LA,Southern,Y,N,N,N
21750,Hancock,MD,Mid-Atlantic,N,Y,N,N
49930,Hancock,MI,Central,N,N,N,N
93230,Hanford,CA,Pacific,Y,N,N,N
25425,Harpers Ferry,WV,Mid-Atlantic,N,N,N,N
17101,Harrisburg,PA,Mid-Atlantic,Y,Y,N,N
68901,Hastings,NE,Central,Y,Y,N,N
39401,Hattiesburg,MS,Southern,N,N,N,N
1832,Haverhill,MA,Northeast,N,Y,N,N
59501,Havre,MT,Pacific Northwest,Y,Y,N,N
94541,Hayward,CA,Pacific,N,N,N,N
39083,Hazlehurst,MS,Southern,N,N,N,N
95448,Healdsburg,CA,Pacific,N,N,N,N
84526,Helper,UT,Pacific,N,N,N,N
92545,Hemet,CA,Southwest,N,N,N,N
92543,Hemet,CA,Southwest,N,N,N,N
65041,Hermann,MO,Central,N,N,N,N
27260,High Point,NC,Southern,N,N,N,N
55037,Hinckley,MN,Central,N,N,N,Y
25951,Hinton,WV,Mid-Atlantic,N,N,N,N
68949,Holdrege,NE,Central,N,N,N,N
49423,Holland,MI,Central,N,N,N,N
33021,Hollywood,FL,Southern,N,N,N,N
60430,Homewood,IL,Central,Y,N,N,N
97031,Hood River,OR,Pacific Northwest,N,N,N,N
49931,Houghton,MI,Central,N,N,N,N
77002,Houston,TX,Southwest,Y,N,N,N
49329,Howard City,MI,Central,N,N,N,N
12534,Hudson,NY,Northeast,Y,N,N,N
54016,Hudson,WI,Central,N,N,N,N
16652,Huntingdon,PA,Mid-Atlantic,N,Y,N,N
25701,Huntington,WV,Mid-Atlantic,Y,Y,N,N
67501,Hutchinson,KS,Central,N,N,N,N
64050,Independence,MO,Central,N,N,N,N
46225,Indianapolis,IN,Central,Y,Y,N,N
92201,Indio,CA,Southwest,N,N,N,N
92618,Irvine,CA,Southwest,Y,N,N,Y
8830,Iselin,NJ,Northeast,Y,Y,N,N
95641,Isleton,CA,Pacific,N,N,N,N
49201,Jackson,MI,Central,Y,N,N,N
39201,Jackson,MS,Southern,Y,Y,N,N
32209,Jacksonville,FL,Southern,N,N,N,N
14701,Jamestown,NY,Northeast,N,N,N,N
53545,Janesville,WI,Central,N,N,N,N
65101,Jefferson City,MO,Central,N,N,N,N
31545,Jesup,GA,Southern,N,N,N,N
15901,Johnstown,PA,Mid-Atlantic,Y,Y,N,N
60431,Joliet,IL,Central,Y,N,N,N
95529,June Lake,CA,Pacific,N,N,N,N
49007,Kalamazoo,MI,Central,Y,N,N,N
49646,Kalkaska,MI,Central,N,N,N,N
60901,Kankakee,IL,Central,N,N,N,N
28081,Kannapolis,NC,Southern,N,N,N,N
64108,Kansas City,MO,Central,Y,Y,N,N
98626,Kelso,WA,Pacific Northwest,N,N,N,N
99141,Kettle Falls,WA,Pacific Northwest,N,N,N,N
93239,Kettleman City,CA,Pacific,N,N,N,N
61443,Kewanee,IL,Central,N,N,N,N
76541,Killeen,TX,Southwest,N,N,N,N
93930,King City,CA,Pacific,N,N,N,N
86401,Kingman,AZ,Southwest,N,N,N,N
49649,Kingsley,MI,Central,N,N,N,N
29556,Kingstree,SC,Southern,N,N,N,N
63122,Kirkwood,MO,Central,N,N,N,N
34741,Kissimmee,FL,Southern,N,N,N,N
97601,Klamath Falls,OR,Pacific Northwest,Y,Y,N,N
